Date,Consumer_Discretionary,Consumer_Staples,Energy,Financials,Health_care,Industrials,Information_techology,Materials,Real_estate,Communication,Utilities
2/20/2018,2966.0115,2650.732089,1146.826497,1349.374326,3047.922233,2357.176333,3431.375171,2033.378946,1467.091126,2134.988863,1856.033542
2/21/2018,2963.336913,2618.728401,1127.434163,1350.223851,3037.63114,2357.544481,3413.461225,2026.38367,1441.600814,2098.472831,1832.538203
2/22/2018,2965.195605,2623.70189,1140.490562,1338.27006,3030.703803,2370.754815,3415.465075,2036.585095,1456.941527,2082.643221,1841.139058
2/23/2018,3003.974879,2651.343749,1165.89065,1357.448394,3076.992729,2389.848255,3485.40019,2062.405165,1481.401623,2132.745139,1888.707595
2/26/2018,3028.198282,2668.657392,1173.083272,1374.603884,3113.959328,2417.85906,3537.257977,2072.214155,1486.499592,2156.25108,1882.978575
2/27/2018,2965.302532,2633.198753,1156.220894,1360.929532,3083.472879,2388.186186,3504.285598,2044.232152,1453.823672,2127.953911,1851.887808
2/28/2018,2947.573527,2606.448913,1128.511188,1343.324202,3035.252392,2352.654867,3481.704677,2006.43704,1451.483679,2105.471136,1838.555741
3/1/2018,2918.453762,2599.467483,1128.30713,1323.509961,2989.316225,2311.477139,3427.598617,1995.15589,1447.101466,2106.588115,1839.18715
3/2/2018,2926.346707,2622.682134,1135.06267,1330.193759,3026.990869,2314.054517,3465.79545,1995.482781,1444.87414,2114.685155,1833.815868
3/5/2018,2955.326383,2647.344919,1148.575757,1348.62353,3054.346362,2339.487345,3499.74365,2017.158634,1462.113975,2140.363261,1868.86936
3/6/2018,2978.465078,2651.086841,1148.56232,1355.647212,3054.595888,2353.866595,3513.363935,2041.253061,1469.187252,2153.015845,1845.517447
3/7/2018,2962.300146,2627.953582,1138.469063,1354.960335,3072.083,2356.222846,3535.299748,2036.641237,1478.564964,2160.806282,1835.493949
3/8/2018,2969.549417,2651.827402,1137.580003,1357.15588,3093.465137,2366.028812,3549.826299,2034.115591,1484.517258,2168.48524,1847.487373
3/9/2018,3014.211931,2668.072404,1159.683077,1388.435854,3138.47325,2417.234152,3619.298384,2069.507057,1493.723171,2174.268583,1853.399678
3/12/2018,3022.329314,2663.16092,1159.893893,1383.734173,3129.956343,2392.348242,3631.138868,2066.265172,1501.28192,2160.779218,1862.933551
3/13/2018,3002.024867,2662.084773,1152.09756,1370.403196,3130.230599,2381.20123,3588.200462,2057.178336,1503.442884,2143.346901,1865.809774
3/14/2018,2993.665387,2633.338146,1145.057618,1354.603298,3114.478984,2357.360439,3588.398835,2028.879431,1504.849676,2137.031176,1882.935691
3/15/2018,2989.149639,2615.195512,1138.229597,1355.789999,3107.538844,2361.128428,3589.120539,2006.383675,1503.768221,2122.42031,1882.487293
3/16/2018,2990.925683,2616.620955,1150.741408,1359.944097,3108.94551,2374.345258,3587.338302,2010.95921,1512.945363,2152.447824,1902.221296
3/19/2018,2953.053885,2591.612698,1129.66655,1349.690257,3058.236247,2356.000365,3514.970715,1981.494008,1499.977443,2114.316257,1889.637437
3/20/2018,2966.71445,2583.158962,1139.857715,1351.79051,3061.860262,2364.177349,3518.845187,1974.91027,1496.721449,2102.505058,1880.640741
3/21/2018,2966.285658,2552.463219,1171.88582,1351.798597,3053.376053,2370.31444,3502.463056,1997.128182,1485.131207,2090.536741,1875.265881
3/22/2018,2904.147554,2531.53414,1146.88789,1303.999632,2969.033496,2293.993321,3409.31207,1934.313583,1477.831315,2060.716354,1881.902576
3/23/2018,2849.582327,2501.02477,1140.229778,1265.831548,2909.054158,2259.338832,3317.312342,1899.044165,1452.865112,2020.210195,1855.124213
3/26/2018,2928.565507,2534.487694,1159.918643,1305.29892,2969.520567,2311.913508,3444.141307,1937.201328,1472.084899,2040.699007,1876.429715
3/27/2018,2873.255722,2535.285547,1147.073175,1280.180928,2927.921271,2278.164903,3327.418153,1916.549966,1475.618402,2029.37722,1901.905524
3/28/2018,2841.144273,2569.116981,1126.366725,1283.80268,2940.549575,2271.339872,3294.89153,1895.8802,1507.088227,2039.750513,1903.393517
3/29/2018,2879.831225,2587.744674,1151.520488,1298.891857,2957.936391,2305.291884,3366.154823,1932.019196,1506.304632,2044.651606,1912.727631
3/30/2018,2879.831225,2587.744674,1151.520488,1298.891857,2957.936391,2305.291884,3366.154823,1932.019196,1506.304632,2044.651606,1912.727631
4/2/2018,2800.622014,2525.293386,1126.922311,1272.241166,2889.294464,2258.296878,3282.988007,1890.223947,1486.144338,2000.085635,1896.088105
4/3/2018,2836.831376,2560.206163,1150.104782,1289.313388,2930.358565,2289.598227,3314.517798,1916.595072,1496.065449,2017.906356,1905.232335
4/4/2018,2889.491187,2599.148303,1148.839685,1302.58496,2974.166805,2300.833141,3359.129013,1929.567916,1512.879452,2051.099197,1908.444746
4/5/2018,2930.328299,2607.050759,1171.64446,1311.884395,2971.331517,2324.427902,3372.703829,1966.55071,1512.593812,2073.242255,1923.770662
4/6/2018,2870.484506,2582.740341,1148.579476,1281.246463,2900.281863,2262.37875,3289.769697,1919.836911,1500.154137,2053.178737,1909.816829
4/9/2018,2862.622261,2578.627956,1152.825134,1285.553307,2930.007467,2254.94829,3312.631509,1929.40032,1497.061698,2055.39675,1912.43121
4/10/2018,2898.807708,2588.095621,1192.881418,1304.959949,2983.88974,2292.591496,3394.255891,1972.570379,1492.34537,2113.968101,1900.83
4/11/2018,2888.5876,2583.392597,1206.79892,1291.007353,2962.784018,2278.485501,3380.506749,1958.239337,1495.85557,2109.714808,1898.872973
4/12/2018,2898.888663,2578.817171,1206.865714,1312.69832,2985.558503,2308.159258,3422.848806,1978.640553,1480.152971,2101.97769,1875.527318
4/13/2018,2882.719141,2590.272301,1220.566904,1293.427323,2980.551654,2301.535069,3408.978983,1977.198363,1487.087043,2089.545412,1888.119986
4/16/2018,2905.104558,2618.060875,1232.659921,1300.257695,3002.240112,2326.761581,3432.857312,2003.76513,1496.191194,2123.067939,1915.287886
4/17/2018,2952.739906,2625.071994,1238.570055,1298.525552,3031.729302,2347.214292,3503.460783,2028.362258,1514.117191,2141.393695,1934.629765
4/18/2018,2967.157515,2603.429602,1259.82052,1293.535131,3033.807625,2367.87715,3497.894898,2043.68601,1511.231238,2143.129328,1926.509519
4/19/2018,2955.527262,2529.266785,1261.080777,1312.215116,3008.422007,2360.15123,3457.365567,2025.079149,1488.909139,2123.904152,1925.170704
4/20/2018,2923.919186,2489.605477,1254.873465,1313.606747,2992.413072,2348.068323,3408.19191,2012.86696,1476.158395,2116.397738,1910.152762
4/23/2018,2930.437024,2485.227508,1262.909548,1313.780035,3000.631358,2345.125227,3393.839442,2003.095901,1476.57911,2120.841924,1915.272897
4/24/2018,2888.64453,2470.902978,1248.984826,1307.478018,2974.290734,2284.293747,3329.98125,1955.780736,1480.446697,2129.717563,1927.610775
4/25/2018,2898.167752,2475.280372,1259.388794,1305.90428,2985.127402,2287.635473,3322.477947,1967.065823,1476.90054,2143.621541,1928.106876
4/26/2018,2940.394141,2487.100072,1277.525719,1306.045508,3020.981175,2279.118372,3393.116028,1978.169411,1494.372443,2107.395422,1948.796383
4/27/2018,2949.585466,2500.609491,1261.99878,1307.918107,3035.482682,2275.137639,3378.300316,1967.650636,1515.553702,2130.590718,1966.530547
4/30/2018,2936.372289,2485.587616,1262.574745,1295.552031,2988.120067,2245.450838,3363.324415,1941.764449,1511.069096,2066.741459,1960.742387
5/1/2018,2942.411094,2464.88223,1255.845021,1297.959852,2994.367037,2236.876592,3406.523043,1937.786047,1521.858233,2035.442889,1957.009505
5/2/2018,2924.938831,2419.281664,1262.40326,1284.494472,2956.971471,2221.470504,3406.957474,1935.877019,1517.134125,2039.833522,1954.772681
5/3/2018,2911.794771,2416.492585,1257.052896,1274.433966,2933.081366,2225.987653,3416.819115,1938.993606,1517.853715,2025.098046,1956.596428
5/4/2018,2949.721414,2450.901977,1265.12407,1290.200351,2958.565852,2252.670859,3481.483942,1966.785608,1534.037609,2041.027438,1966.242925
5/7/2018,2962.218632,2437.241701,1268.93023,1298.67342,2959.88884,2271.285673,3510.871152,1968.807257,1542.757835,2027.340111,1956.739177
5/8/2018,2950.543824,2426.34153,1280.47365,1307.493783,2938.693901,2288.677903,3524.254079,1965.883913,1534.533684,2000.301926,1911.359998
5/9/2018,2959.423554,2431.252038,1305.733665,1324.736136,2960.252016,2311.171179,3571.500246,1989.355382,1544.882298,1986.034331,1899.413219
5/10/2018,2970.183163,2446.929841,1314.812478,1334.375881,2996.116993,2325.435148,3614.476813,2004.321926,1557.677685,2017.008136,1924.105202
5/11/2018,2975.314019,2444.875186,1314.845476,1334.02035,3041.140371,2330.486694,3604.285222,2003.686345,1551.219274,2038.914173,1927.949038
5/14/2018,2979.251148,2443.846429,1324.133015,1332.003739,3060.793378,2325.269437,3600.345065,2007.6255,1538.773239,2021.892405,1920.145111
5/15/2018,2963.468008,2434.681102,1325.465866,1331.491093,3024.476604,2317.074772,3569.225431,2003.088502,1514.634702,2011.982626,1904.542018
5/16/2018,2990.031599,2453.557416,1331.917182,1333.792275,3043.942046,2326.150444,3585.700498,2027.976085,1511.277271,2021.825387,1889.617073
5/17/2018,2983.761938,2460.9334,1353.277849,1334.203256,3045.988996,2337.240479,3570.337278,2035.12104,1504.19134,2021.444807,1875.453811
5/18/2018,2980.076463,2445.495345,1343.002724,1323.481337,3054.76082,2350.197039,3556.679301,2037.879137,1506.48834,2017.999642,1875.405398
5/21/2018,2997.208265,2456.377952,1357.543471,1334.687647,3054.722964,2384.950723,3584.338057,2047.216084,1522.768895,2041.990233,1886.17164
5/22/2018,2978.851685,2449.605854,1338.15834,1341.595014,3046.796833,2353.847985,3572.655293,2031.390057,1524.77356,2040.293939,1893.69412
5/23/2018,2998.032527,2461.199501,1337.001892,1334.529462,3057.261673,2350.748003,3601.999561,2026.898842,1539.245582,2025.492921,1910.675437
5/24/2018,3004.816554,2459.174729,1315.389343,1325.996783,3049.570214,2362.067654,3598.796925,2020.967117,1535.324264,2019.636013,1925.164761
5/25/2018,3010.23869,2461.569009,1280.422004,1321.16536,3048.733866,2355.377272,3599.636189,2011.68939,1541.765418,1996.91801,1933.323176
5/28/2018,3010.23869,2461.569009,1280.422004,1321.16536,3048.733866,2355.377272,3599.636189,2011.68939,1541.765418,1996.91801,1933.323176
5/29/2018,2988.814062,2457.958001,1278.23098,1280.957341,3020.00585,2324.720374,3578.476168,1982.389622,1547.023056,1998.6927,1936.197326
5/30/2018,3015.803559,2490.604987,1318.943895,1304.630347,3062.499894,2356.190485,3605.433479,2006.018731,1568.063613,2023.502769,1952.968611
5/31/2018,3000.071217,2453.272956,1307.450079,1293.331073,3034.73093,2322.234455,3603.888332,1987.858909,1563.251482,1993.092651,1953.646716
6/1/2018,3023.491126,2453.583888,1312.937725,1307.53134,3069.863121,2348.32557,3672.156615,2014.031852,1569.800644,2009.860474,1925.382944
6/4/2018,3057.846701,2474.131338,1298.738998,1312.951329,3081.090264,2346.732289,3702.205126,2024.094156,1584.465623,2016.700373,1911.486893
6/5/2018,3075.76792,2463.999189,1295.797944,1308.041943,3080.422148,2355.279552,3720.983108,2037.515838,1579.065021,2027.516657,1898.642725
6/6/2018,3110.744476,2466.490643,1301.790544,1331.035829,3114.970609,2376.887853,3741.329573,2072.590236,1583.654802,2029.756112,1860.475388
6/7/2018,3116.53097,2479.960379,1324.051038,1333.475463,3106.923506,2382.467675,3698.283065,2060.618112,1583.011973,2044.703913,1869.111493
6/8/2018,3126.483735,2511.620333,1319.799345,1337.455156,3129.171348,2393.043707,3700.779354,2066.592106,1589.100366,2051.076347,1868.244511
6/11/2018,3138.643599,2530.144016,1324.466752,1332.822801,3132.683412,2396.060556,3702.287,2069.527944,1587.05209,2059.083802,1859.678561
6/12/2018,3157.449727,2535.427054,1315.093364,1327.16947,3137.372803,2395.73039,3727.006676,2070.419563,1596.900341,2070.057101,1883.140348
6/13/2018,3155.484478,2526.969901,1309.891312,1322.874027,3137.008709,2375.668131,3720.345241,2049.460388,1565.961818,2028.26984,1878.641757
6/14/2018,3185.28731,2532.235836,1305.964457,1312.947973,3154.969344,2368.530088,3744.239653,2051.627744,1580.601805,2063.002192,1900.141725
6/15/2018,3192.640486,2563.842342,1277.638913,1312.448978,3162.838117,2365.343501,3730.086982,2038.482433,1578.650149,2083.627572,1913.095104
6/18/2018,3192.219606,2529.42491,1293.791416,1312.17135,3137.137106,2359.636588,3740.440961,2034.150792,1579.71055,2070.494424,1920.987042
6/19/2018,3185.178438,2543.174424,1292.017283,1310.025976,3147.380418,2315.910663,3713.750246,1998.256109,1578.949844,2085.313817,1941.720595
6/20/2018,3202.716122,2546.533467,1299.282065,1307.058093,3159.466092,2319.333438,3726.514886,1995.882013,1596.256153,2066.803672,1942.465682
6/21/2018,3177.992764,2550.587309,1273.147587,1303.534958,3138.784667,2290.796941,3694.099802,1975.165386,1603.336632,2046.033512,1948.506873
6/22/2018,3171.860654,2571.352921,1303.792906,1297.119586,3148.194386,2297.901715,3676.748485,2000.470159,1614.901789,2061.971756,1961.553211
6/25/2018,3106.264051,2581.99927,1273.914713,1283.929899,3112.180834,2267.16098,3590.532686,1969.251811,1611.222732,2046.694089,1990.913868
6/26/2018,3127.762411,2572.31529,1293.457268,1279.186221,3107.671669,2275.08685,3608.875933,1977.743177,1616.859707,2049.909688,1990.477156
